,o_id,o_customer_id,o_order_number,o_currency,o_subtotal,o_tax,o_shipping,o_total,o_shipping_carrier,o_shipping_method,o_payment_status,o_payment_date,o_payment_type,o_payment_amount,o_payment_id,o_payment_code,o_status,o_placed_date,o_updated_date,o_shipped_date,o_customer_type
638,2655,522,2655,USD,97.02,0.0,9.95,106.97,fedex,11Ground,3.0,1418463710,authorize.net,106.97,6753011568.0,166471.0,1,1418463710,1438868410,1418664483,0.0
639,4548,522,4548,USD,97.02,4.859279839268475,9.95,106.97,fedex,11Ground,3.0,1434359276,paypal,106.97,51326726.0,132578.05607205114,1,1434359276,1440535071,1434402961,0.0
640,2657,523,2657,USD,357.99,30.2,0.0,370.29,manual,0Free Shipping,3.0,1418483805,authorize.net,370.29,6753363322.0,9426.0,1,1418483805,1438868410,1418742841,0.0
641,2697,527,2697,USD,124.74,4.859279839268475,9.95,135.99,fedex,11Ground,3.0,1418660795,authorize.net,135.99,3285178019195.542,132578.05607205114,1,1418660795,1438868410,1418674205,0.0
642,2698,528,2698,USD,124.74,4.859279839268475,9.95,135.99,fedex,11Ground,3.0,1418660899,authorize.net,135.99,3285178019195.542,132578.05607205114,1,1418660899,1438868410,1418671714,0.0
643,2701,529,2701,USD,124.74,4.859279839268475,9.95,135.99,fedex,11Ground,3.0,1418661736,authorize.net,135.99,3285178019195.542,132578.05607205114,1,1418661736,1438868410,1418700620,0.0
644,2703,530,2703,USD,73.14,0.0,9.95,83.09,fedex,11Ground,3.0,1418666532,authorize.net,83.09,6759160193.0,134529.0,1,1418666532,1438868410,1418760823,0.0
645,2718,531,2718,USD,243.79,0.0,9.95,241.55,manual,0Standard Shipping,3.0,1418711885,authorize.net,241.55,6761562306.0,4196.0,1,1418711885,1438868410,1418842672,0.0
646,2718,531,2718,USD,243.79,0.0,9.95,241.55,manual,0Standard Shipping,3.0,1418711885,authorize.net,241.55,6761562306.0,4196.0,1,1418711885,1438868410,1418842672,0.0
647,2721,532,2721,USD,51.2,0.0,9.95,58.59,fedex,11Ground,3.0,1418745972,authorize.net,58.59,6762532402.0,1601.0,1,1418745972,1438868410,1418780037,0.0
648,2725,533,2725,USD,53.12,4.53,0.0,55.49,manual,0Free Shipping,3.0,1418759261,authorize.net,55.48,3285178019195.542,132578.05607205114,1,1418759261,1438868410,1418842408,0.0
649,2733,534,2733,USD,18.58,0.0,0.0,18.58,manual,1Free Shipping,3.0,1418787409,authorize.net,18.58,6764742722.0,13622.0,1,1418787409,1438868410,1418914246,0.0
650,2744,535,2744,USD,97.2,0.0,9.95,107.15,fedex,11Ground,3.0,1418848436,authorize.net,107.15,6766871627.0,752.0,1,1418848436,1438868410,1418938084,0.0
651,2753,536,2753,USD,23.33,0.0,0.0,23.33,manual,1Free Shipping,3.0,1418863386,authorize.net,23.33,6767626236.0,9288.0,1,1418863386,1438868410,1419006576,0.0
652,2810,537,2810,USD,37.79,0.0,0.0,37.79,manual,1Free Shipping,3.0,1419106115,paypal,37.79,31.0,132578.05607205114,1,1419106115,1438868410,1419349980,0.0
653,2763,538,2763,USD,250.0,0.0,9.95,259.95,fedex,11Ground,3.0,1418930778,authorize.net,259.95,6769845927.0,85587.0,1,1418930778,1438868410,1420575023,0.0
654,2764,539,2764,USD,74.42,0.0,9.95,84.37,fedex,11Ground,3.0,1418930991,authorize.net,84.37,6769859039.0,18715.0,1,1418930991,1438868410,1418948269,0.0
655,2764,539,2764,USD,74.42,0.0,9.95,84.37,fedex,11Ground,3.0,1418930991,authorize.net,84.37,6769859039.0,18715.0,1,1418930991,1438868410,1418948269,0.0
656,2764,539,2764,USD,74.42,0.0,9.95,84.37,fedex,11Ground,3.0,1418930991,authorize.net,84.37,6769859039.0,18715.0,1,1418930991,1438868410,1418948269,0.0
657,2764,539,2764,USD,74.42,0.0,9.95,84.37,fedex,11Ground,3.0,1418930991,authorize.net,84.37,6769859039.0,18715.0,1,1418930991,1438868410,1418948269,0.0
658,2764,539,2764,USD,74.42,0.0,9.95,84.37,fedex,11Ground,3.0,1418930991,authorize.net,84.37,6769859039.0,18715.0,1,1418930991,1438868410,1418948269,0.0
659,2831,543,2831,USD,137.97,4.859279839268475,9.95,141.02,fedex,11Ground,3.0,1419211344,authorize.net,141.02,6778020014.0,112027.0,1,1419211344,1438868410,1419276532,0.0
660,2837,544,2837,USD,66.43,0.0,9.95,73.06,fedex,11Ground,3.0,1419229843,authorize.net,73.06,6778387694.0,1315.0,1,1419229843,1438868410,1419278994,0.0
661,2854,546,2854,USD,66.43,4.859279839268475,9.95,76.38,fedex,11Ground,3.0,1419291477,authorize.net,76.38,6780877384.0,2221.0,1,1419291477,1438868410,1419380697,0.0
662,2860,548,2860,USD,12.44,0.0,9.95,22.39,fedex,11Ground,3.0,1419340408,authorize.net,22.39,6781797435.0,9881.0,1,1419340408,1438868410,1419384735,0.0
663,2863,550,2863,USD,357.99,0.0,0.0,357.99,manual,0Free Shipping,3.0,1419357519,authorize.net,357.99,6782564735.0,5243.0,1,1419357519,1438868410,1419443806,0.0
664,3142,550,3142,USD,343.75,0.0,0.0,343.75,manual,0Free Shipping,3.0,1421353441,authorize.net,343.75,6840539031.0,2128.0,1,1421353441,1438868410,1421422408,0.0
665,3429,550,3429,USD,49.17,0.0,0.0,44.17,manual,0Free Shipping,3.0,1423069050,authorize.net,44.17,6894785621.0,1959.0,1,1423069050,1438868410,1423160208,0.0
666,4036,550,4036,USD,28.41,4.859279839268475,9.95,36.94,fedex,11Ground,3.0,1429540738,authorize.net,36.94,7108211541.0,7023.0,1,1429540738,1438868410,1429561639,0.0
667,2882,551,2882,USD,93.84,0.0,9.95,95.16,fedex,11Ground,3.0,1419455092,authorize.net,95.16,6785366037.0,304985.0,1,1419455092,1438868410,1419644232,0.0
668,2892,552,2892,USD,397.71,0.0,9.95,387.77,manual,0Standard Shipping,3.0,1419504703,authorize.net,387.77,6786106434.0,4427.0,1,1419504703,1438868410,1419876170,0.0
669,2892,552,2892,USD,397.71,0.0,9.95,387.77,manual,0Standard Shipping,3.0,1419504703,authorize.net,387.77,6786106434.0,4427.0,1,1419504703,1438868410,1419876170,0.0
670,2906,553,2906,USD,113.39,7.49,9.95,124.44,fedex,11Ground,3.0,1419609360,authorize.net,124.44,3285178019195.542,132578.05607205114,1,1419609360,1438868410,1419631831,0.0
671,2907,554,2907,USD,84.49,4.859279839268475,9.95,90.22,fedex,11Ground,3.0,1419614576,authorize.net,90.22,6788006571.0,110116.0,1,1419614576,1438868410,1419905635,0.0
672,2907,554,2907,USD,84.49,4.859279839268475,9.95,90.22,fedex,11Ground,3.0,1419614576,authorize.net,90.22,6788006571.0,110116.0,1,1419614576,1438868410,1419905635,0.0
673,2909,556,2909,USD,66.43,4.859279839268475,9.95,76.38,fedex,11Ground,3.0,1419633447,authorize.net,76.38,6788891570.0,5133.0,1,1419633447,1438868410,1419904138,0.0
674,2914,558,2914,USD,28.1,0.0,0.0,28.1,manual,0Free Shipping,3.0,1419645755,authorize.net,28.1,6789223709.0,796050.0,1,1419645755,1438868410,1419961987,0.0
675,2916,559,2916,USD,32.98,4.859279839268475,9.95,42.93,fedex,11Ground,3.0,1419685127,paypal,42.93,0.0,132578.05607205114,1,1419685127,1438868410,1419888338,0.0
676,2917,560,2917,USD,53.89,0.0,9.95,63.84,manual,0Standard Shipping,3.0,1419686131,authorize.net,63.84,6789769948.0,21508.0,1,1419686131,1438868410,1419962004,0.0
677,2917,560,2917,USD,53.89,0.0,9.95,63.84,manual,0Standard Shipping,3.0,1419686131,authorize.net,63.84,6789769948.0,21508.0,1,1419686131,1438868410,1419962004,0.0
678,2935,561,2935,USD,138.6,0.0,0.0,138.6,manual,0Free Shipping,3.0,1419774247,authorize.net,138.6,6791532082.0,77542.0,1,1419774247,1438868410,1419966463,0.0
679,2936,562,2936,USD,29.76,4.859279839268475,9.95,38.22,fedex,11Ground,3.0,1419781737,authorize.net,38.22,6791655271.0,922799.0,1,1419781737,1438868410,1419884058,0.0
680,3408,562,3408,USD,25.98,0.0,9.95,35.93,fedex,11Ground,3.0,1422918251,paypal,35.93,9.0,132578.05607205114,1,1422918251,1438868410,1422994128,0.0
681,2938,564,2938,USD,76.61,5.36,9.95,91.92,fedex,11Ground,3.0,1419789604,authorize.net,91.92,6791831203.0,248.0,1,1419789604,1438868410,1419876772,0.0
682,2942,565,2942,USD,173.75,0.0,9.95,183.7,fedex,11Ground,3.0,1419808366,authorize.net,183.7,6792304115.0,7488.0,1,1419808366,1438868410,1419888543,0.0
683,2950,566,2950,USD,13.28,4.859279839268475,9.95,22.57,fedex,11Ground,3.0,1419851668,authorize.net,22.57,6793055909.0,2890.0,1,1419851668,1438868410,1419888361,0.0
684,2959,568,2959,USD,35.49,0.0,9.95,45.44,manual,0Standard Shipping,3.0,1419890536,authorize.net,45.44,6794947721.0,29722.0,1,1419890536,1438868410,1420216802,0.0
685,2972,569,2972,USD,77.99,0.0,0.0,77.99,manual,1Free Shipping,3.0,1419959706,authorize.net,77.99,6796805223.0,181552.0,1,1419959706,1438868410,1420049006,0.0
686,2977,571,2977,USD,119.99,4.859279839268475,9.95,116.3,fedex,11Ground,3.0,1419973852,authorize.net,116.3,3285178019195.542,132578.05607205114,1,1419973852,1438868410,1420096533,0.0
687,2980,572,2980,USD,351.99,0.0,0.0,351.99,manual,0Free Shipping,3.0,1419980802,authorize.net,351.99,6797996043.0,9360.0,1,1419980802,1438868410,1420215845,0.0
688,2993,573,2993,USD,63.54,0.0,9.95,73.49,fedex,11Ground,3.0,1420004367,authorize.net,73.49,6798637747.0,73900.0,1,1420004367,1438868410,1420097420,0.0
689,3003,574,3003,USD,53.3,0.0,9.95,60.58,fedex,11Ground,3.0,1420056787,authorize.net,60.58,6800261496.0,165534.0,1,1420056787,1438868410,1420212248,0.0
